variable,states,mean_entropy,normalized_entropy
x_region,2,0.6976582845522896,0.6976582845522896
desc_mun,133,6.411347927499111,0.9087301587301607
municipio,3,0.7887075301207658,0.4976190476190476
upm,210,7.642373461590243,0.9906832034433843
a1210,2,0.040069622311482214,0.040069622311482214
a0306e,2,0.1898055130489098,0.1898055130489098
a0301,2,0.23923974257046318,0.23923974257046318
a1503,3,0.5180755774444991,0.3268692964084483
edad,3,0.5313779080110009,0.33526213255469745
a0604,2,0.6586363771506959,0.6586363771506959
a0702p,2,0.33992204327215914,0.33992204327215914
a0703p,2,0.5035162151359754,0.5035162151359754
a0701p,2,0.25470158862567804,0.25470158862567804
