variable,states,mean_entropy,normalized_entropy
edad,3,1.583980110775989,0.9993801809539846
a0104,2,0.06998127205524389,0.06998127205524389
a0107,2,0.0687614592378856,0.0687614592378856
sexo,2,0.972340727778185,0.972340727778185
a0301,2,0.48975831102952255,0.48975831102952255
a0401,2,0.6504340772497021,0.6504340772497021
a1210,2,0.4611746651114511,0.4611746651114511
x_region,2,0.6976582845522896,0.6976582845522896
a0701p,2,0.988799547129826,0.988799547129826
a0702p,2,0.9803337541436536,0.9803337541436536
desc_mun,133,6.605865471555299,0.9363006416746001
municipio,3,1.584954356585194,0.9999948616223044
a0202,2,0.4304740182643238,0.4304740182643238
a0203,2,0.4253908090990964,0.4253908090990964
a0108,3,0.14782380720914395,0.09326643825445984
a0204,2,0.017316081170343195,0.017316081170343195
a0303num,3,0.019872148508560644,0.012537929761441573
a0306e,2,0.38356975451332576,0.38356975451332576
a0604,2,0.6586363771506959,0.6586363771506959
a1503,3,0.48266725128901883,0.3045291299127934
a0703p,2,0.26349338305171666,0.26349338305171666
estrato,2,0.9955536919117999,0.9955536919117999
