Rk,Player,Pos,Squad,Age,Born,PlayingTimeMP,PlayingTimeStarts,PlayingTimeMin,PlayingTime90s,PerformanceGA,PerformanceGA90,PerformanceSoTA,PerformanceSaves,PerformanceSave%,PerformanceW,PerformanceD,PerformanceL,PerformanceCS,PerformanceCS%,PenaltyKicksPKatt,PenaltyKicksPKA,PenaltyKicksPKsv,PenaltyKicksPKm,PenaltyKicksSave%,Matches,ID
1,Altay Bayındır,GK,tr Türkiye,25,1998,1,1,90,1.0,3,3.0,3,1,0.0,0,0,1,0,0.0,0,0,0,0,,Matches,AlGKtr251998
2,Koen Casteels,GK,be Belgium,31,1992,4,4,360,4.0,2,0.5,14,13,85.7,1,1,2,2,50.0,0,0,0,0,,Matches,KoGKbe311992
3,Diogo Costa,GK,pt Portugal,24,1999,5,5,510,5.7,3,0.53,14,11,85.7,2,2,1,3,60.0,1,1,0,0,0.0,Matches,DiGKpt241999
4,Gianluigi Donnarumma,GK,it Italy,24,1999,4,4,360,4.0,5,1.25,17,12,70.6,1,1,2,0,0.0,1,0,1,0,100.0,Matches,GiGKit241999
5,Martin Dúbravka,GK,sk Slovakia,35,1989,4,4,390,4.3,5,1.15,16,11,75.0,1,1,2,1,25.0,1,1,0,0,0.0,Matches,MaGKsk351989
6,Péter Gulácsi,GK,hu Hungary,33,1990,3,3,270,3.0,5,1.67,14,9,64.3,1,0,2,1,33.3,0,0,0,0,,Matches,PaGulGKhu331990
7,Angus Gunn,GK,sct Scotland,28,1996,3,3,270,3.0,7,2.33,19,12,68.4,0,1,2,0,0.0,1,1,0,0,0.0,Matches,AnGKsc281996
8,Mert Günok,GK,tr Türkiye,34,1989,4,4,360,4.0,5,1.25,19,15,73.7,3,0,1,0,0.0,0,0,0,0,,Matches,MeGKtr341989
9,Matej Kovar,GK,cz Czechia,23,2000,1,0,36,0.4,1,2.5,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches,MaGKcz232000
10,Dominik Livaković,GK,hr Croatia,29,1995,3,3,270,3.0,6,2.0,15,9,60.0,0,2,1,0,0.0,0,0,0,0,,Matches,DoGKhr291995
11,Andriy Lunin,GK,ua Ukraine,24,1999,1,1,90,1.0,3,3.0,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,Matches,AnGKua241999
12,Mike Maignan,GK,fr France,28,1995,6,6,570,6.3,3,0.47,18,15,88.9,2,3,1,4,66.7,1,1,0,0,0.0,Matches,MiGKfr281995
13,Giorgi Mamardashvili,GK,ge Georgia,23,2000,4,4,360,4.0,8,2.0,38,30,78.9,1,1,2,1,25.0,0,0,0,0,,Matches,GiGKge232000
14,Manuel Neuer,GK,de Germany,37,1986,5,5,480,5.3,4,0.75,14,11,71.4,3,1,1,2,40.0,0,0,0,0,,Matches,MaGKde371986
15,Florin Niță,GK,ro Romania,36,1987,4,4,360,4.0,6,1.5,21,15,71.4,1,1,2,1,25.0,0,0,0,0,,Matches,FlGKro361987
16,Jan Oblak,GK,si Slovenia,31,1993,4,4,390,4.3,2,0.46,17,14,88.2,0,4,0,2,50.0,1,0,1,0,100.0,Matches,JaGKsi311993
17,Patrick Pentz,GK,at Austria,27,1997,4,4,360,4.0,6,1.5,11,6,45.5,2,0,2,0,0.0,0,0,0,0,,Matches,PaGKat271997
18,Jordan Pickford,GK,eng England,29,1994,7,7,690,7.7,6,0.78,23,17,73.9,3,3,1,2,28.6,0,0,0,0,,Matches,JoGKen291994
19,Predrag Rajković,GK,rs Serbia,28,1995,3,3,270,3.0,2,0.67,10,8,80.0,0,2,1,1,33.3,0,0,0,0,,Matches,PrGKrs281995
20,David Raya,GK,es Spain,28,1995,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,DaGKes281995
21,Kasper Schmeichel,GK,dk Denmark,37,1986,4,4,360,4.0,4,1.0,16,12,81.3,0,3,1,1,25.0,1,1,0,0,0.0,Matches,KaGKdk371986
22,Unai Simón,GK,es Spain,26,1997,6,6,570,6.3,4,0.63,17,13,76.5,6,0,0,2,33.3,1,0,1,0,100.0,Matches,UnGKes261997
23,Łukasz Skorupski,GK,pl Poland,32,1991,1,1,90,1.0,1,1.0,8,7,100.0,0,1,0,0,0.0,1,1,0,0,0.0,Matches,ŁuGKpl321991
24,Yann Sommer,GK,ch Switzerland,35,1988,5,5,480,5.3,4,0.75,12,8,66.7,2,3,0,1,20.0,0,0,0,0,,Matches,YaGKch351988
25,Jindřich Staněk,GK,cz Czechia,27,1996,3,3,234,2.6,4,1.54,12,9,75.0,0,1,2,0,0.0,1,1,0,0,0.0,Matches,JiGKcz271996
26,Thomas Strakosha,GK,al Albania,28,1995,3,3,270,3.0,5,1.67,17,13,70.6,0,1,2,0,0.0,0,0,0,0,,Matches,ThGKal281995
27,Wojciech Szczęsny,GK,pl Poland,33,1990,2,2,180,2.0,5,2.5,13,8,69.2,0,0,2,0,0.0,1,1,0,0,0.0,Matches,WoGKpl331990
28,Anatolii Trubin,GK,ua Ukraine,22,2001,2,2,180,2.0,1,0.5,9,8,88.9,1,1,0,1,50.0,0,0,0,0,,Matches,AnGKua222001
29,Bart Verbruggen,GK,nl Netherlands,21,2002,6,6,540,6.0,7,1.17,23,17,73.9,3,1,2,2,33.3,1,1,0,0,0.0,Matches,BaGKnl212002
