Rk,Player,Pos,Squad,Age,Born,90s,PerformanceCrdY,PerformanceCrdR,Performance2CrdY,PerformanceFls,PerformanceFld,PerformanceOff,PerformanceCrs,PerformanceInt,PerformanceTklW,PerformancePKwon,PerformancePKcon,PerformanceOG,PerformanceRecov,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%,Matches,ID
1,Che Adams,FW,sct Scotland,27,1996,2.3,0,0,0,6,3,1,1,1,1,0,0,0,2,3,8,27.3,Matches,ChFWsc271996
2,Michel Aebischer,DF,ch Switzerland,27,1997,5.3,0,0,0,2,7,1,3,2,3,0,0,0,20,4,6,40.0,Matches,MiDFch271997
3,Arlind Ajeti,DF,al Albania,30,1993,3.0,0,0,0,1,0,0,0,6,0,0,0,0,5,4,9,30.8,Matches,ArDFal301993
4,Manuel Akanji,DF,ch Switzerland,28,1995,5.3,0,0,0,2,2,0,0,4,2,0,0,0,24,7,6,53.8,Matches,MaDFch281995
5,Samet Akaydın,DF,tr Türkiye,29,1994,3.7,2,0,0,3,1,0,0,7,4,0,0,1,9,10,6,62.5,Matches,SaDFtr291994
6,Nathan Aké,DF,nl Netherlands,28,1995,5.2,1,0,0,3,1,0,1,6,5,0,0,0,11,3,4,42.9,Matches,NaDFnl281995
7,Yunus Akgün,FW,tr Türkiye,23,2000,0.8,0,0,0,0,2,0,3,0,1,0,0,0,2,0,0,,Matches,YuFWtr232000
8,Kerem Aktürkoğlu,FW/MF,tr Türkiye,25,1998,1.2,0,0,0,2,0,1,3,1,1,0,0,0,6,0,2,0.0,Matches,KeFWtr251998
9,Trent Alexander-Arnold,MF/DF,eng England,25,1998,1.5,0,0,0,1,3,0,5,2,0,0,0,0,3,1,0,100.0,Matches,TrMFen251998
10,Denis Alibec,FW,ro Romania,33,1991,0.3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,,Matches,DeFWro331991
11,Barış Alper Yılmaz,FW,tr Türkiye,23,2000,5.0,0,0,0,3,11,2,8,0,0,0,0,0,14,5,10,33.3,Matches,BaFWtr232000
12,Sandro Altunashvili,MF,ge Georgia,26,1997,0.6,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,,Matches,SaMFge261997
13,Zeki Amdouni,MF/FW,ch Switzerland,23,2000,0.6,0,0,0,1,2,0,0,0,0,0,0,0,4,1,1,50.0,Matches,ZeMFch232000
14,Joachim Andersen,DF,dk Denmark,27,1996,4.0,1,0,0,8,0,0,5,2,1,0,1,0,9,18,4,81.8,Matches,JoDFdk271996
15,Robert Andrich,MF,de Germany,29,1994,3.5,2,0,0,11,3,0,1,2,8,0,0,0,15,6,8,42.9,Matches,RoMFde291994
16,Waldemar Anton,DF,de Germany,27,1996,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches,WaDFde271996
17,Stuart Armstrong,MF,sct Scotland,31,1992,0.2,0,0,0,1,0,0,3,0,0,0,0,0,1,1,1,50.0,Matches,StMFsc311992
18,Marko Arnautović,FW,at Austria,34,1989,3.1,1,0,0,6,6,3,2,0,1,0,0,0,4,4,7,36.4,Matches,MaFWat341989
19,Jasir Asani,FW,al Albania,28,1995,2.3,0,0,0,2,5,1,4,4,1,0,0,0,8,0,2,0.0,Matches,JaFWal281995
20,Kristjan Asllani,MF,al Albania,21,2002,3.0,0,0,0,2,4,1,13,3,1,0,0,0,8,0,2,0.0,Matches,KrMFal212002
21,Kaan Ayhan,MF/DF,tr Türkiye,29,1994,4.0,1,0,0,3,4,0,1,2,3,0,0,0,6,7,3,70.0,Matches,KaMFtr291994
22,Alex Baena,MF/FW,es Spain,22,2001,0.3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0,Matches,AlMFes222001
23,Alexander Bah,DF/MF,dk Denmark,26,1997,3.1,0,0,0,3,2,0,6,5,4,0,0,0,9,7,3,70.0,Matches,AlDFdk261997
24,Nedim Bajrami,FW/MF,al Albania,24,1999,2.7,1,0,0,2,0,2,4,0,1,0,0,0,10,1,1,50.0,Matches,NeFWal241999
25,Johan Bakayoko,FW/DF,be Belgium,20,2003,0.5,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,,Matches,JoFWbe202003
26,Jure Balkovec,DF,si Slovenia,29,1994,1.3,1,0,0,1,0,0,1,2,3,0,0,0,1,1,2,33.3,Matches,JuDFsi291994
27,Iván Balliu,DF,al Albania,32,1992,1.0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,,Matches,IvDFal321992
28,Nicușor Bancu,DF,ro Romania,31,1992,3.0,2,0,0,4,2,0,5,0,2,0,0,0,10,1,1,50.0,Matches,NiDFro311992
29,Antonín Barák,MF,cz Czechia,29,1994,0.5,2,1,1,3,1,0,1,0,1,0,0,0,4,0,2,0.0,Matches,AnMFcz291994
30,Bradley Barcola,FW/MF,fr France,21,2002,1.1,0,0,0,1,3,0,1,0,4,0,0,0,4,0,0,,Matches,BrFWfr212002
31,Abdülkerim Bardakcı,DF,tr Türkiye,29,1994,4.0,2,0,0,3,1,0,1,2,2,0,0,0,17,7,7,50.0,Matches,AbDFtr291994
32,Nicolò Barella,MF,it Italy,26,1997,3.7,1,0,0,5,2,1,2,3,5,0,0,0,14,1,1,50.0,Matches,NiMFit261997
33,Alessandro Bastoni,DF,it Italy,24,1999,4.0,0,0,0,3,6,0,1,1,2,0,0,0,24,4,5,44.4,Matches,AlDFit241999
34,Martin Baturina,FW,hr Croatia,20,2003,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches,MaFWhr202003
35,Christoph Baumgartner,MF/FW,at Austria,24,1999,3.2,1,0,0,4,8,1,6,1,1,0,0,0,14,5,9,35.7,Matches,ChMFat241999
36,Altay Bayındır,GK,tr Türkiye,25,1998,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,Matches,AlGKtr251998
37,Jan Bednarek,DF,pl Poland,27,1996,3.0,0,0,0,2,4,0,0,3,1,0,0,0,8,2,5,28.6,Matches,JaDFpl271996
38,Maximilian Beier,FW,de Germany,21,2002,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100.0,Matches,MaFWde212002
39,Jude Bellingham,MF/FW,eng England,20,2003,7.4,2,0,0,6,16,0,8,4,11,0,0,0,27,6,13,31.6,Matches,JuMFen202003
40,László Bénes,MF,sk Slovakia,26,1997,0.8,0,0,0,0,0,0,6,0,1,0,0,0,5,0,0,,Matches,LáMFsk261997
41,Bartosz Bereszyński,DF,pl Poland,31,1992,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches,BaDFpl311992
42,Steven Bergwijn,FW,nl Netherlands,26,1997,1.0,0,0,0,1,1,1,2,0,0,0,0,0,5,0,0,,Matches,StFWnl261997
43,Medon Berisha,MF,al Albania,20,2003,0.2,1,0,0,1,0,0,0,1,0,0,0,0,3,0,2,0.0,Matches,MeMFal202003
