ID,Player,Pos,Squad,Age,Born,PlayingTimeMP,PlayingTimeMin,PlayingTimeMn/MP,PlayingTimeMin%,PlayingTime90s,Starts,StartsMn/Start,StartsCompl,Subs,SubsMn/Sub,SubsunSub,TeamSuccessPPM,TeamSuccessonG,TeamSuccessonGA,TeamSuccess+/-,TeamSuccess+/-90,TeamSuccessOn-Off,TeamSuccess(xG)onxG,TeamSuccess(xG)onxGA,TeamSuccess(xG)xG+/-,TeamSuccess(xG)xG+/-90,TeamSuccess(xG)On-Off,Matches
AmMFal331990,Amir Abrashi,MF,al Albania,33,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
ChFWsc271996,Che Adams,FW,sct Scotland,27,1996,3,209.0,70.0,77.4,2.3,3,70.0,0,0,,0,0.33,1.0,4.0,-3.0,-1.29,1.66,0.7,2.8,-2.0,-0.88,1.23,Matches
MiDFch271997,Michel Aebischer,DF,ch Switzerland,27,1997,5,476.0,95.0,99.2,5.3,5,95.0,3,0,,0,1.8,8.0,4.0,4.0,0.76,0.76,6.5,4.9,1.6,0.3,-5.09,Matches
ArDFal301993,Arlind Ajeti,DF,al Albania,30,1993,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,3.0,5.0,-2.0,-0.67,,2.4,5.7,-3.2,-1.07,,Matches
MaDFch281995,Manuel Akanji,DF,ch Switzerland,28,1995,5,480.0,96.0,100.0,5.3,5,96.0,5,0,,0,1.8,8.0,4.0,4.0,0.75,,6.7,4.9,1.8,0.37,0.37,Matches
SaDFtr291994,Samet Akaydın,DF,tr Türkiye,29,1994,4,335.0,84.0,74.4,3.7,4,84.0,2,0,,0,1.5,6.0,7.0,-1.0,-0.27,-1.05,5.7,5.6,0.2,0.04,1.45,Matches
NaDFnl281995,Nathan Aké,DF,nl Netherlands,28,1995,6,470.0,78.0,87.0,5.2,6,78.0,2,0,,0,1.67,6.0,6.0,0.0,0.0,-3.86,6.6,5.2,1.3,0.25,-0.06,Matches
YuFWtr232000,Yunus Akgün,FW,tr Türkiye,23,2000,1,69.0,69.0,15.3,0.8,1,69.0,0,0,,4,0.0,0.0,3.0,-3.0,-3.91,-4.62,0.7,1.6,-0.9,-1.23,-1.07,Matches
KeFWtr251998,Kerem Aktürkoğlu,FW/MF,tr Türkiye,25,1998,5,105.0,21.0,23.3,1.2,1,57.0,0,4,12.0,0,1.8,2.0,3.0,-1.0,-0.86,-1.12,2.8,3.0,-0.2,-0.21,0.15,Matches
TrMFen251998,Trent Alexander-Arnold,MF/DF,eng England,25,1998,4,134.0,34.0,19.4,1.5,2,61.0,0,2,7.0,3,1.5,2.0,1.0,1.0,0.67,0.51,0.9,0.6,0.3,0.19,0.4,Matches
DeFWro331991,Denis Alibec,FW,ro Romania,33,1991,2,29.0,15.0,8.1,0.3,0,,0,2,15.0,2,0.0,0.0,2.0,-2.0,-6.21,-6.21,0.4,1.4,-1.0,-3.14,-2.7,Matches
NaDFal301993,Naser Aliji,DF/MF,al Albania,30,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
BaFWtr232000,Barış Alper Yılmaz,FW,tr Türkiye,23,2000,5,450.0,90.0,100.0,5.0,5,90.0,5,0,,0,1.8,8.0,8.0,0.0,0.0,,7.3,8.9,-1.6,-0.32,,Matches
SaMFge261997,Sandro Altunashvili,MF,ge Georgia,26,1997,2,52.0,26.0,14.4,0.6,0,,0,2,26.0,2,0.0,0.0,4.0,-4.0,-6.92,-7.22,0.4,3.0,-2.6,-4.51,-3.24,Matches
ZeMFch232000,Zeki Amdouni,MF/FW,ch Switzerland,23,2000,4,57.0,14.0,11.9,0.6,0,,0,4,14.0,1,1.5,1.0,1.0,0.0,0.0,-0.85,1.4,0.9,0.5,0.85,0.58,Matches
JoDFdk271996,Joachim Andersen,DF,dk Denmark,27,1996,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,0.75,2.0,4.0,-2.0,-0.5,,4.3,4.8,-0.5,-0.12,,Matches
RoMFde291994,Robert Andrich,MF,de Germany,29,1994,5,318.0,64.0,66.3,3.5,4,61.0,0,1,75.0,0,2.0,7.0,3.0,4.0,1.13,-0.53,6.6,3.5,3.1,0.98,-0.06,Matches
