Player,Cluster_0_proba,Cluster_1_proba,Cluster_2_proba,Cluster_3_proba,Cluster_4_proba,Cluster_5_proba,Cluster_6_proba,Cluster_7_proba,Cluster_8_proba,Cluster_hard,Cluster_confidence
Saba Kvirkvelia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Ezri Konsa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Guram Kashia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Paweł Dawidowicz,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Giorgi Gwelesiani,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Unai Simón,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Mike Maignan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Marin Pongračić,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Yann Sommer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Jack Hendry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Martin Dúbravka,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Lasha Dvali,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Bart Verbruggen,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Attila Fiola,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Florin Niță,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Patrick Pentz,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Angus Gunn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Jan Vertonghen,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Diogo Costa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Jordan Pickford,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Andrei Burcă,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Jure Balkovec,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Zeno Debast,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Danilo Pereira,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Matteo Darmian,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Arlind Ajeti,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Grant Hanley,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Giorgi Mamardashvili,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Iván Balliu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Jan Oblak,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Koen Casteels,0.99999999,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0,0.99999999
Mert Günok,0.99999999,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0,0.99999999
Silvan Widmer,0.99999999,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.0,0,0.99999999
Ádám Nagy,0.99999999,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.0,0,0.99999999
Mario Mitaj,0.99999999,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.0,0,0.99999999
Łukasz Skorupski,0.99999999,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0,0.99999999
Scott McKenna,0.99999999,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.0,0,0.99999999
Jaka Bijol,0.99999999,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.0,0,0.99999999
Kasper Schmeichel,0.99999999,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0,0.99999999
Berat Djimsiti,0.99999999,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.0,0,0.99999999
Nikola Milenković,0.99999999,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.0,0,0.99999999
Salih Özcan,0.99999999,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.0,0,0.99999999
Billy Gilmour,0.99999998,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0,0.99999998
Saša Lukić,0.99999998,0.0,0.0,0.0,0.0,2e-08,0.0,0.0,0.0,0,0.99999998
Philipp Lienhart,0.99999998,0.0,0.0,0.0,0.0,2e-08,0.0,0.0,0.0,0,0.99999998
Daniel Vivian,0.99999998,0.0,0.0,0.0,0.0,2e-08,0.0,0.0,0.0,0,0.99999998
Péter Gulácsi,0.99999998,0.0,0.0,0.0,0.0,0.0,2e-08,0.0,0.0,0,0.99999998
Conor Gallagher,0.99999998,0.0,0.0,0.0,0.0,0.0,2e-08,0.0,0.0,0,0.99999998
Predrag Rajković,0.99999998,0.0,0.0,0.0,0.0,0.0,2e-08,0.0,0.0,0,0.99999998
Gianluigi Donnarumma,0.99999998,0.0,0.0,0.0,0.0,0.0,2e-08,0.0,0.0,0,0.99999998
Attila Szalai,0.99999998,0.0,0.0,0.0,0.0,1e-08,1e-08,0.0,0.0,0,0.99999998
Timothy Castagne,0.99999998,0.0,0.0,0.0,0.0,2e-08,0.0,0.0,0.0,0,0.99999998
Josip Šutalo,0.99999997,0.0,0.0,0.0,0.0,3e-08,0.0,0.0,0.0,0,0.99999997
Kieran Tierney,0.99999996,0.0,0.0,0.0,0.0,0.0,4e-08,0.0,0.0,0,0.99999996
Thomas Strakosha,0.99999996,0.0,0.0,0.0,0.0,0.0,4e-08,0.0,0.0,0,0.99999996
Dominik Livaković,0.99999996,0.0,0.0,0.0,0.0,0.0,4e-08,0.0,0.0,0,0.99999996
William Saliba,0.99999995,0.0,0.0,0.0,0.0,5e-08,0.0,0.0,0.0,0,0.99999995
Gianluca Mancini,0.99999994,0.0,0.0,0.0,0.0,0.0,6e-08,0.0,0.0,0,0.99999994
Andriy Lunin,0.99999993,0.0,0.0,0.0,0.0,0.0,7e-08,0.0,0.0,0,0.99999993
Pepe,0.99999993,0.0,0.0,0.0,0.0,7e-08,0.0,0.0,0.0,0,0.99999993
Jindřich Staněk,0.99999992,0.0,0.0,0.0,0.0,0.0,8e-08,0.0,0.0,0,0.99999992
Nemanja Gudelj,0.99999992,0.0,0.0,0.0,0.0,0.0,8e-08,0.0,0.0,0,0.99999992
Jan Kuchta,0.99999992,0.0,0.0,0.0,0.0,0.0,8e-08,0.0,0.0,0,0.99999992
Andreas Christensen,0.9999999,0.0,0.0,0.0,0.0,1e-07,0.0,0.0,0.0,0,0.9999999
Wojciech Szczęsny,0.9999999,0.0,0.0,0.0,0.0,0.0,1e-07,0.0,0.0,0,0.9999999
Altay Bayındır,0.99999989,0.0,0.0,0.0,0.0,0.0,1.1e-07,0.0,0.0,0,0.99999989
Anatolii Trubin,0.99999988,0.0,0.0,0.0,0.0,0.0,1.2e-07,0.0,0.0,0,0.99999988
Denis Vavro,0.99999987,0.0,0.0,0.0,0.0,1.3e-07,0.0,0.0,0.0,0,0.99999987
Robin Hranáč,0.99999986,0.0,0.0,0.0,0.0,1.4e-07,0.0,0.0,0.0,0,0.99999986
David Doudera,0.99999986,0.0,0.0,0.0,0.0,0.0,1.4e-07,0.0,0.0,0,0.99999986
David Raya,0.99999985,0.0,0.0,0.0,0.0,0.0,1.5e-07,0.0,0.0,0,0.99999985
Martín Zubimendi,0.99999983,0.0,0.0,0.0,0.0,1.7e-07,0.0,0.0,0.0,0,0.99999983
John McGinn,0.99999977,0.0,0.0,0.0,0.0,0.0,2.3e-07,0.0,0.0,0,0.99999977
Kevin Danso,0.99999965,0.0,0.0,0.0,0.0,3.5e-07,0.0,0.0,0.0,0,0.99999965
Otar Kiteishvili,0.99999935,0.0,0.0,0.0,0.0,0.0,6.5e-07,0.0,0.0,0,0.99999935
Wout Faes,0.99999934,0.0,0.0,0.0,0.0,6.6e-07,0.0,0.0,0.0,0,0.99999934
John Stones,0.9999992,0.0,0.0,0.0,0.0,7.7e-07,0.0,3e-08,0.0,0,0.9999992
Jon Gorenc Stanković,0.99999915,0.0,0.0,0.0,0.0,2e-08,8.4e-07,0.0,0.0,0,0.99999915
Filip Mladenović,0.99999908,0.0,0.0,0.0,0.0,1.4e-07,7.7e-07,0.0,0.0,0,0.99999908
Arthur Theate,0.99999897,0.0,0.0,0.0,0.0,1.03e-06,0.0,0.0,0.0,0,0.99999897
Konrad Laimer,0.99999872,0.0,0.0,0.0,0.0,1.28e-06,0.0,0.0,0.0,0,0.99999872
Endre Botka,0.99999871,0.0,0.0,0.0,0.0,0.0,1.28e-06,0.0,0.0,0,0.99999871
Bartosz Slisz,0.99999829,0.0,0.0,0.0,0.0,4.9e-07,1.22e-06,0.0,0.0,0,0.99999829
Márton Dárdai,0.99999813,0.0,0.0,0.0,0.0,6e-08,1.82e-06,0.0,0.0,0,0.99999813
Giovanni Di Lorenzo,0.99999582,0.0,0.0,0.0,0.0,4.18e-06,0.0,0.0,0.0,0,0.99999582
Steven Bergwijn,0.99999547,0.0,0.0,0.0,0.0,7e-08,4.46e-06,0.0,0.0,0,0.99999547
Milan Škriniar,0.99999412,0.0,0.0,0.0,0.0,5.88e-06,0.0,0.0,0.0,0,0.99999412
Orel Mangala,0.99999407,0.0,0.0,0.0,0.0,5.91e-06,0.0,0.0,2e-08,0,0.99999407
Elseid Hysaj,0.99999349,0.0,0.0,0.0,0.0,4e-08,6.46e-06,0.0,0.0,0,0.99999349
Robin Le Normand,0.99998769,0.0,0.0,0.0,0.0,1.229e-05,0.0,2e-08,0.0,0,0.99998769
Nicolò Fagioli,0.99998759,0.0,0.0,0.0,0.0,4.7e-06,7.7e-06,0.0,0.0,0,0.99998759
Jonathan Tah,0.99998436,0.0,0.0,0.0,0.0,1.564e-05,0.0,0.0,0.0,0,0.99998436
Nicușor Bancu,0.99998284,0.0,0.0,1e-08,0.0,1.715e-05,0.0,0.0,0.0,0,0.99998284
Miloš Veljković,0.99997738,0.0,0.0,0.0,0.0,2.262e-05,0.0,0.0,0.0,0,0.99997738
Andreas Skov Olsen,0.99996875,0.0,0.0,0.0,0.0,6e-08,3.119e-05,0.0,0.0,0,0.99996875
