Player,Squad,Cluster_0_proba,Cluster_1_proba,Cluster_2_proba,Cluster_3_proba,Cluster_4_proba,Cluster_5_proba,Cluster_6_proba,Cluster_7_proba,Cluster_8_proba,Cluster_hard,Cluster_confidence
Ivan Perišić,hr Croatia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Álex Grimaldo,es Spain,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Francisco Conceição,pt Portugal,0.99999999,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0,0.99999999
David Jurásek,cz Czechia,0.99999995,0.0,0.0,0.0,0.0,0.0,5e-08,0.0,0.0,0,0.99999995
Sergej Milinković-Savić,rs Serbia,0.99999977,0.0,0.0,0.0,0.0,0.0,2.3e-07,0.0,0.0,0,0.99999977
Joshua Kimmich,de Germany,0.9999996,0.0,0.0,0.0,0.0,0.0,4e-07,0.0,0.0,0,0.9999996
Stefan Posch,at Austria,0.99999919,0.0,0.0,0.0,0.0,0.0,8.1e-07,0.0,0.0,0,0.99999919
Bradley Barcola,fr France,0.99999197,0.0,0.0,0.0,0.0,0.0,8.03e-06,0.0,0.0,0,0.99999197
João Félix,pt Portugal,0.99963653,0.0,0.0,0.0,0.0,0.0,0.00036347,0.0,0.0,0,0.99963653
Bruno Fernandes,pt Portugal,0.9995772,0.0,0.00042095,0.0,0.0,0.0,1.85e-06,0.0,0.0,0,0.9995772
Diogo Jota,pt Portugal,0.99721853,0.0,0.0,9.8e-07,9.6e-07,0.0,0.00277953,0.0,0.0,0,0.99721853
Luka Sučić,hr Croatia,0.98017043,0.0,0.0,0.0,0.0,0.0,0.01982957,0.0,0.0,0,0.98017043
Kevin De Bruyne,be Belgium,0.87950321,0.0,0.0,0.0,4.36e-06,0.0,0.12049243,0.0,0.0,0,0.87950321
Žan Karničnik,si Slovenia,0.0,0.99999991,0.0,0.0,0.0,0.0,0.0,9e-08,0.0,1,0.99999991
Luka Lochoshvili,ge Georgia,0.0,0.99999535,0.0,0.0,0.0,0.0,0.0,0.0,4.65e-06,1,0.99999535
Jan Bednarek,pl Poland,0.0,0.99998193,0.0,0.0,0.0,0.0,0.0,0.0,1.807e-05,1,0.99998193
Manuel Neuer,de Germany,0.0,0.99990311,0.0,1.38e-06,0.0,0.0,0.0,0.0,9.55e-05,1,0.99990311
Ylber Ramadani,al Albania,0.0,0.99897154,0.0,0.0,0.0,0.0,0.0,0.0,0.00102846,1,0.99897154
Nacho,es Spain,0.0,0.99876395,0.0,0.0,0.0,0.0,0.0,0.0,0.00123605,1,0.99876395
Stefan de Vrij,nl Netherlands,0.0,0.99861085,0.00138914,0.0,0.0,0.0,0.0,0.0,0.0,1,0.99861085
Marc Guéhi,eng England,0.0,0.99814525,1e-08,0.0,0.0,0.0,0.0,0.0,0.00185474,1,0.99814525
Saba Kvirkvelia,ge Georgia,0.0,0.99323999,0.0,0.0,0.00676001,0.0,0.0,0.0,0.0,1,0.99323999
Jaka Bijol,si Slovenia,0.0,0.99065491,0.0,0.0,0.00934508,0.0,0.0,0.0,0.0,1,0.99065491
Andrei Ratiu,ro Romania,0.0,0.98731198,5.31e-06,1e-08,0.0,0.0,0.0,0.0126827,0.0,1,0.98731198
Giorgi Gwelesiani,ge Georgia,0.0,0.98673647,0.0,0.0,0.01326353,0.0,0.0,0.0,0.0,1,0.98673647
Remo Freuler,ch Switzerland,2e-08,0.9813021,0.0186439,0.0,0.0,0.0,4.053e-05,1.345e-05,0.0,1,0.9813021
Guram Kashia,ge Georgia,0.0,0.96910012,0.0,0.0,0.03083409,6.579e-05,0.0,0.0,0.0,1,0.96910012
Ezri Konsa,eng England,0.0,0.94223486,0.0,0.0,0.05776507,6e-08,0.0,0.0,1e-08,1,0.94223486
Manuel Akanji,ch Switzerland,0.0,0.91616846,5.64e-06,0.0,0.0,0.0,0.0,0.0,0.0838259,1,0.91616846
Lasha Dvali,ge Georgia,0.0,0.88032569,0.0,0.0,0.10837054,0.0113035,0.0,0.0,2.7e-07,1,0.88032569
Radu Drăgușin,ro Romania,0.0,0.84783257,0.0,0.0,0.15216743,0.0,0.0,0.0,0.0,1,0.84783257
Andrei Burcă,ro Romania,0.0,0.78269447,0.0,0.0,0.1888185,0.02848636,0.0,0.0,6.7e-07,1,0.78269447
Gonçalo Inácio,pt Portugal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0
Nico Schlotterbeck,de Germany,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0
Aymeric Laporte,es Spain,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0
Aurélien Tchouaméni,fr France,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0
Toni Kroos,de Germany,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0
Granit Xhaka,ch Switzerland,2e-08,0.0,0.99999998,0.0,0.0,0.0,0.0,0.0,0.0,2,0.99999998
Nuno Mendes,pt Portugal,4e-08,0.0,0.99999996,0.0,0.0,0.0,0.0,0.0,0.0,2,0.99999996
Rodri,es Spain,3.6e-07,0.0,0.99999962,0.0,0.0,0.0,3e-08,0.0,0.0,2,0.99999962
Fabián Ruiz Peña,es Spain,0.0,0.0,0.99999804,0.0,0.0,0.0,1.96e-06,0.0,0.0,2,0.99999804
Nicolas Seiwald,at Austria,2.86e-06,0.0,0.99999713,0.0,0.0,0.0,1e-08,0.0,0.0,2,0.99999713
Mykola Shaparenko,ua Ukraine,4.1e-07,0.0,0.99999356,0.0,0.0,0.0,3.37e-06,2.66e-06,0.0,2,0.99999356
Declan Rice,eng England,3.62e-06,0.0,0.99998735,0.0,0.0,0.0,4.6e-07,8.57e-06,0.0,2,0.99998735
Rúben Neves,pt Portugal,0.0,0.0,0.9999802,0.0,0.0,0.0,0.0,0.0,1.98e-05,2,0.9999802
Antonio Rüdiger,de Germany,3.404e-05,0.0,0.99996596,0.0,0.0,0.0,0.0,0.0,0.0,2,0.99996596
Vitinha,pt Portugal,3.632e-05,0.0,0.99996368,0.0,0.0,0.0,0.0,0.0,0.0,2,0.99996368
Marc Cucurella,es Spain,1.55e-06,0.0,0.99995599,0.0,0.0,0.0,4.245e-05,2e-08,0.0,2,0.99995599
Theo Hernández,fr France,4.668e-05,0.0,0.99991248,0.0,0.0,0.0,3.923e-05,1.62e-06,0.0,2,0.99991248
Mateo Kovačić,hr Croatia,0.00015221,0.0,0.99982473,0.0,0.0,0.0,2.306e-05,0.0,0.0,2,0.99982473
N'Golo Kanté,fr France,0.00031428,0.0,0.99968517,0.0,0.0,0.0,5.5e-07,0.0,0.0,2,0.99968517
Dani Carvajal,es Spain,4.968e-05,0.0,0.9996846,0.0,0.0,0.0,0.00026571,1e-08,0.0,2,0.9996846
Marcelo Brozović,hr Croatia,0.00115472,0.0,0.99884528,0.0,0.0,0.0,0.0,0.0,0.0,2,0.99884528
Pierre Højbjerg,dk Denmark,0.00136772,0.0,0.99863224,0.0,0.0,0.0,4e-08,0.0,0.0,2,0.99863224
Oleksandr Zinchenko,ua Ukraine,1.34e-06,0.0,0.99805404,0.0,0.0,0.0,0.00061146,0.00133316,0.0,2,0.99805404
Michel Aebischer,ch Switzerland,3.408e-05,0.0,0.61100016,0.0,0.0,0.0,0.38849865,0.00046711,0.0,2,0.61100016
Adam Hložek,cz Czechia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1.0
