home_team_encoded,away_team_encoded,referee_encoded,home_goals,away_goals,home_xg,away_xg,home_poss,home_team_form,away_team_form,home_avg_goals_10,home_avg_xg_10,away_avg_goals_10,away_avg_xg_10,home_avg_conceded_10,away_avg_conceded_10,h2h_stat,result
7,0,2,0,2,1.2,1.0,56,0.0,3.0,0.0,1.2,2.0,1.0,2.0,0.0,0.0,-1
9,12,1,2,2,1.2,1.2,33,1.0,1.0,2.0,1.2,2.0,1.2,2.0,2.0,0.0,0
16,17,23,2,0,1.7,0.3,61,3.0,1.5,2.0,1.7,1.5328947368421053,1.4846052631578948,0.0,1.5328947368421053,0.0,1
20,19,0,4,1,1.5,0.5,58,3.0,0.0,4.0,1.5,1.0,0.5,1.0,4.0,0.0,1
2,1,17,2,0,0.6,0.7,35,3.0,0.0,2.0,0.6,0.0,0.7,0.0,2.0,0.0,1
10,22,19,2,1,0.8,1.3,40,3.0,1.5,2.0,0.8,1.5328947368421053,1.4846052631578948,1.0,1.5328947368421053,0.0,1
8,6,4,0,1,0.7,1.5,38,0.0,3.0,0.0,0.7,1.0,1.5,1.0,0.0,0.0,-1
15,4,16,1,2,1.4,1.5,62,0.0,1.5,1.0,1.4,1.5328947368421053,1.4846052631578948,2.0,1.5328947368421053,0.0,-1
11,3,9,2,2,0.6,0.8,56,1.0,1.0,2.0,0.6,2.0,0.8,2.0,2.0,0.0,0
21,14,14,0,2,0.5,2.2,25,0.0,3.0,0.0,0.5,2.0,2.2,2.0,0.0,0.0,-1
1,8,14,2,1,2.3,1.6,57,1.5,0.0,1.0,1.5,0.5,1.15,1.5,1.5,0.0,1
14,2,7,4,0,1.7,0.1,67,3.0,1.5,3.0,1.9500000000000002,1.0,0.35,0.0,2.0,0.0,1
0,11,6,4,2,2.7,0.5,50,3.0,0.5,3.0,1.85,2.0,0.55,1.0,3.0,0.0,1
4,16,8,0,0,1.5,0.2,54,2.0,1.5,1.0,1.5,1.5328947368421053,1.4846052631578948,0.5,1.5328947368421053,0.0,0
22,9,10,0,0,0.9,1.5,59,0.5,1.0,0.5,1.1,1.0,1.35,1.0,1.0,0.0,0
19,10,28,2,2,1.2,1.8,43,0.5,2.0,1.5,0.85,2.0,1.3,3.0,1.5,0.0,0
3,15,24,4,0,1.6,0.9,34,2.0,1.5,3.0,1.2000000000000002,1.5328947368421053,1.4846052631578948,1.0,1.5328947368421053,0.0,1
17,21,19,1,0,1.3,2.1,43,1.5,1.5,0.5,0.8,1.5328947368421053,1.4846052631578948,1.0,1.5328947368421053,0.0,1
6,20,2,2,2,1.6,1.0,63,2.0,1.5,1.5,1.55,1.5328947368421053,1.4846052631578948,1.0,1.5328947368421053,0.0,0
12,7,16,1,1,2.0,1.0,72,1.0,0.5,1.5,1.6,0.5,1.1,1.5,1.5,0.0,0
20,22,23,1,0,1.7,0.7,50,2.3333333333333335,1.5,2.3333333333333335,1.4000000000000001,1.5328947368421053,1.4846052631578948,1.0,1.5328947368421053,0.0,1
9,3,17,3,2,2.4,1.8,43,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.7,2.6666666666666665,1.4000000000000001,1.3333333333333333,1.6666666666666667,0.0,1
7,1,1,3,1,2.6,0.9,51,1.3333333333333333,1.0,1.3333333333333333,1.5999999999999999,1.0,1.3,1.3333333333333333,2.0,0.0,1
8,17,0,1,1,1.5,1.0,49,0.3333333333333333,1.5,0.6666666666666666,1.2666666666666666,1.5328947368421053,1.4846052631578948,1.3333333333333333,1.5328947368421053,0.0,0
11,19,15,1,2,0.3,0.9,62,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.4666666666666666,1.6666666666666667,0.8666666666666667,2.6666666666666665,2.3333333333333335,0.0,-1
2,0,4,0,3,0.3,1.3,43,1.0,3.0,0.6666666666666666,0.3333333333333333,3.0,1.6666666666666667,2.3333333333333335,0.6666666666666666,0.0,-1
21,4,2,0,2,0.8,1.7,50,0.0,1.5,0.0,1.1333333333333335,1.5328947368421053,1.4846052631578948,1.6666666666666667,1.5328947368421053,0.0,-1
10,6,24,3,0,2.1,0.9,39,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.5666666666666667,1.0,1.3333333333333333,1.0,1.6666666666666667,0.0,1
16,14,9,3,3,1.8,2.1,31,1.6666666666666667,2.3333333333333335,1.6666666666666667,1.2333333333333334,3.0,2.0,1.0,1.0,0.0,0
15,12,14,2,1,1.8,1.3,30,1.0,0.6666666666666666,1.0,1.3666666666666665,1.3333333333333333,1.5,2.3333333333333335,1.6666666666666667,0.0,1
