Name,Latitude,Longitude
Lautertal-Oberlauter,50.3066,10.9679
Braunlage,51.7234,10.6021
Göttingen,51.5002,9.9507
Hof,50.3123,11.876
Wasserkuppe,50.4973,9.9427
Erfurt-Weimar,50.9829,10.9608
"Hersfeld, Bad",50.852,9.7377
Plauen,50.4818,12.13
Wernigerode,51.8454,10.7686
Leinefelde,51.3932,10.3123
Artern,51.3744,11.292
Gera-Leumnitz,50.8812,12.1289
Schmücke,50.6545,10.7696
Meiningen,50.5611,10.3771
Harzgerode,51.652,11.1366
Osterfeld,51.0872,11.9293
Neuhaus am Rennweg,50.5003,11.1345
Schleiz,50.5679,11.8041
Eisenach,51.0007,10.3621
